Well Name,Depth,GR,AC,LLS,LLD,Facies
JY3,2350.936,131.382,67.95,90.173,87.662,1
JY3,2351.061,134.201,68.64,88.852,86.305,1
JY3,2351.186,135.696,69.435,86.037,83.521,1
JY3,2351.311,135.9,70.055,82.584,80.187,1
JY3,2351.436,135.73,70.177,79.659,77.443,1
JY3,2351.561,135.858,70.043,77.685,75.661,1
JY3,2351.686,135.957,69.787,76.246,74.436,1
JY3,2351.811,135.495,69.512,74.941,73.371,1
JY3,2351.936,134.444,69.214,73.812,72.453,1
JY3,2352.061,132.719,68.672,73.204,71.984,1
JY3,2352.186,130.122,68.273,73.666,72.5,1
JY3,2352.311,126.976,68.375,75.178,73.995,1
JY3,2352.436,123.976,68.528,77.28,75.997,1
JY3,2352.561,122.158,68.611,78.907,77.472,1
JY3,2352.686,121.858,68.936,79.578,78.004,1
JY3,2352.811,123.135,69.17,79.439,77.778,1
JY3,2352.936,125.449,68.955,79.051,77.344,1
JY3,2353.061,128.015,68.686,78.682,76.943,1
JY3,2353.186,130.081,68.726,78.363,76.613,1
JY3,2353.311,131.489,68.927,78.13,76.396,1
JY3,2353.436,132.375,68.995,78.175,76.479,1
JY3,2353.561,132.17,68.83,78.886,77.235,1
JY3,2353.686,129.822,68.598,80.721,79.109,1
JY3,2353.811,124.948,68.072,84.376,82.755,1
JY3,2353.936,119.876,67.193,89.681,87.902,1
JY3,2354.061,118.238,66.637,94.607,92.526,1
JY3,2354.186,121.846,66.681,96.88,94.449,1
JY3,2354.311,128.152,67.077,95.439,92.757,1
JY3,2354.436,133.215,67.87,91.233,88.463,1
JY3,2354.561,134.612,68.901,85.655,82.976,1
JY3,2354.686,133.328,69.581,80.605,78.113,1
JY3,2354.811,131.639,69.843,77.166,74.868,1
JY3,2354.936,131.82,69.802,75.744,73.561,1
JY3,2355.061,133.774,69.631,75.53,73.393,1
JY3,2355.186,135.835,69.48,76.015,73.893,1
JY3,2355.311,135.976,69.223,76.953,74.837,1
JY3,2355.436,134.504,68.75,78.098,75.972,1
JY3,2355.561,132.809,68.417,79.116,76.956,1
JY3,2355.686,132.528,68.591,79.425,77.221,1
JY3,2355.811,134.012,68.928,78.827,76.591,1
JY3,2355.936,136.849,69.286,77.366,75.124,1
JY3,2356.061,139.511,69.87,75.364,73.16,1
JY3,2356.186,141.061,70.365,73.276,71.171,1
JY3,2356.311,141.776,70.275,71.973,70.02,1
JY3,2356.436,142.8,69.933,72.123,70.296,1
JY3,2356.561,144.127,69.735,73.562,71.783,1
JY3,2356.686,144.429,69.667,75.48,73.651,1
JY3,2356.811,143.201,69.638,76.767,74.847,1
JY3,2356.936,140.8,69.758,76.761,74.777,1
JY3,2357.061,137.251,69.934,75.618,73.676,1
JY3,2357.186,132.623,69.746,74.864,73.061,1
JY3,2357.311,127.894,68.918,76.321,74.685,1
JY3,2357.436,125.102,67.807,81.015,79.458,1
JY3,2357.561,125.024,66.962,87.831,86.211,1
JY3,2357.686,127.433,66.693,94.441,92.615,1
JY3,2357.811,131.022,67.033,97.932,95.88,1
JY3,2357.936,134.55,67.879,97.336,95.163,1
JY3,2358.061,136.614,68.739,93.596,91.491,1
JY3,2358.186,137.429,69.104,89.758,87.823,1
JY3,2358.311,138.372,69.149,87.328,85.561,1
JY3,2358.436,140.585,69.29,86.369,84.702,1
JY3,2358.561,143.101,69.542,85.762,84.156,1
JY3,2358.686,144.684,69.828,84.95,83.417,1
JY3,2358.811,145.089,70.07,83.893,82.496,1
JY3,2358.936,145.284,70.03,82.872,81.652,1
JY3,2359.061,145.609,69.625,82.185,81.127,1
JY3,2359.186,144.916,69.279,81.824,80.872,1
JY3,2359.311,142.355,69.175,81.471,80.595,1
JY3,2359.436,138.734,69.173,80.889,80.101,1
JY3,2359.561,136.326,69.21,80.218,79.531,1
JY3,2359.686,135.539,69.273,79.739,79.163,1
JY3,2359.811,134.782,69.219,79.76,79.299,1
JY3,2359.936,133.007,69.084,80.151,79.802,1
JY3,2360.061,130.933,68.945,80.658,80.422,1
JY3,2360.186,129.536,68.766,81.144,81.041,1
JY3,2360.311,128.487,68.525,81.716,81.77,1
JY3,2360.436,127.763,68.265,82.394,82.596,1
JY3,2360.561,128.998,68.134,82.803,83.097,1
JY3,2360.686,133.315,68.274,82.546,82.874,1
JY3,2360.811,139.82,68.712,81.39,81.719,1
JY3,2360.936,145.071,69.291,79.498,79.837,1
JY3,2361.061,147.159,69.859,77.189,77.58,1
JY3,2361.186,146.333,70.259,75.018,75.527,1
JY3,2361.311,145.264,70.484,73.703,74.375,1
JY3,2361.436,145.356,70.635,73.64,74.481,1
JY3,2361.561,146.398,70.74,74.905,75.881,1
JY3,2361.686,146.969,70.855,76.693,77.742,1
