 Facies,Well Name,Depth,GR,AC,DEN,CNL,LLS,LLD,K
2,JY41-5,2600.3,218.968,245.006,2.562,12.161,65.471,63.408,3.409
2,JY41-5,2601.37,204.895,244.382,2.559,12.068,37.564,36.869,3.05
2,JY41-5,2602.26,215.713,246.327,2.558,12.197,28.301,28.051,3.012
2,JY41-5,2603.05,202.089,246.521,2.544,12.515,54.892,53.899,2.683
2,JY41-5,2603.56,211.615,246.821,2.555,11.982,31.098,29.406,2.856
2,JY41-5,2604.74,215.454,243.753,2.556,11.443,41.459,39.871,4.057
2,JY41-5,2605.8,212.919,242.216,2.573,12.488,29.747,28.109,3.586
2,JY41-5,2606.79,227.116,249.364,2.549,12.626,21.062,20.479,2.682
2,JY41-5,2607.7,222.867,251.252,2.527,12.782,31.727,31.984,2.848
2,JY41-5,2608.7,199.438,244.347,2.543,10.029,40.297,39.255,3.061
2,JY41-5,2609.67,182.158,241.498,2.562,9.948,46.845,46.698,2.849
2,JY41-5,2610.63,215.214,249.208,2.535,10.445,13.954,13.246,2.838
2,JY41-5,2611.68,247.18,246.25,2.494,10.932,26.115,25.292,2.913
2,JY41-5,2612.61,236.597,252.315,2.485,11.371,15.168,15.146,3.357
2,JY41-5,2613.6,235.295,246.424,2.485,9.894,66.97,66.788,2.936
2,JY41-5,2614.7,383.445,267.251,2.459,13.419,15.119,14.654,4.299
6,JY41-5,2615.78,203.697,228.734,2.61,7.849,32.818,30.651,2.231
2,JY41-5,2616.75,184.242,249.099,2.488,9.029,29.672,28.477,1.366
2,JY41-5,2617.79,202.452,248.231,2.462,9.069,22.022,21.16,2.368
2,JY41-5,2618.64,168.856,246.184,2.465,9.695,21.966,20.94,2.323
2,JY41-5,2619.69,138.054,249.61,2.53,14.202,34.561,30.583,3.199
3,JY41-5,2620.66,168.608,273.406,2.535,16.95,35.107,33.092,4.109
3,JY56-z1,2865,183.139,237.273,2.724,18.82,38.364,40.527,4.004
3,JY56-z1,2865.57,178.192,238.154,2.703,17.407,41.743,43.441,3.251
2,JY56-z1,2867.86,192.797,264.676,2.681,19.717,32.84,33.768,4.299
3,JY56-z1,2868.3,202.489,264.334,2.702,18.806,27.772,29.357,4.58
3,JY56-z1,2868.57,198.02,262.39,2.706,19.351,29.079,31.277,4.362
3,JY56-z1,2869.2,200.315,263.08,2.689,19.113,24.408,26.775,3.789
3,JY56-z1,2869.8,203.809,263.232,2.699,19.294,33.652,37.154,3.628
3,JY56-z1,2870.3,193.824,256.697,2.691,17.834,42.147,46.842,4.013
3,JY56-z1,2870.87,199.771,265.331,2.681,17.16,42.177,46.044,3.962
3,JY56-z1,2871.5,226.782,268.876,2.647,17.3,37.647,41.035,3.655
3,JY56-z1,2871.77,224.608,260.144,2.634,16.958,38.661,42.398,3.604
2,JY56-z1,2872.3,193.199,240.661,2.686,13.959,40.943,44.926,3.616
2,JY56-z1,2872.75,191.171,234.797,2.689,14.438,18.775,20.881,3.918
4,JY56-z1,2873.3,190.547,235.075,2.688,15.022,48.368,53.932,3.936
2,JY56-z1,2873.91,192.676,239.821,2.67,13.725,52.124,58.686,3.313
3,JY56-z1,2874.4,185.95,244.358,2.663,14.769,37.12,39.834,2.808
3,JY56-z1,2874.79,186.492,245.699,2.663,14.571,11.899,13.082,2.766
2,JY56-z1,2875.3,189.136,244.793,2.664,15.638,25.559,28.815,3.051
2,JY56-z1,2875.8,185.499,240.591,2.66,13.94,60.186,69.009,3.372
2,JY56-z1,2876.2,184.038,237.444,2.663,14.189,69.171,79.461,3.19
4,JY56-z1,2876.7,164.72,233.544,2.686,14.231,75.651,88.785,3.348
2,JY56-z1,2877.2,174.572,235.686,2.669,13.766,77.439,91.255,3.403
2,JY56-z1,2877.89,189.524,239.646,2.642,14.393,60.21,70.78,3.965
2,JY56-z1,2878.3,184.482,240.931,2.649,13.917,49.277,58.695,4.043
2,JY56-z1,2878.68,173.101,240.67,2.676,13.617,60.521,74.078,3.587
2,JY56-z1,2880.29,185.538,244.428,2.648,14.829,68.241,85.244,2.759
3,JY56-z1,2881.15,184.741,243.779,2.666,14.052,71.566,89.394,3.182
2,JY56-z1,2882.03,171.905,245.739,2.65,12.157,70.84,88.705,3.676
2,JY56-z1,2883.38,189.515,265.097,2.633,17.337,62.31,78.35,3.419
5,JY56-z1,2884.18,180.803,264.706,2.634,15.724,60.941,75.663,3.673
3,JY56-z1,2884.84,191.494,267.972,2.616,15.691,65.621,79.515,3.665
2,JY56-z1,2886.39,190.942,268.856,2.645,15.093,17.415,19.203,3.188
3,JY56-z1,2887,190.751,271.908,2.622,15.844,35.838,42.573,2.813
2,JY56-z1,2888.18,184.536,269.326,2.657,14.718,44.174,52.591,3.209
2,JY56-z1,2889.23,186.128,264.033,2.632,13.964,78.829,94.194,3.16
2,JY56-z1,2890.23,185.988,267.901,2.609,12.663,65.667,81.124,3.163
2,JY56-z1,2891.24,185.304,265.625,2.615,15.554,84.657,106.589,2.748
2,JY56-z1,2892.35,192.134,262.406,2.574,12.774,78.016,98.368,2.793
2,JY56-z1,2893.27,206.094,260.985,2.583,14.524,94.081,116.395,2.865
2,JY56-z1,2894.1,201.937,256.577,2.578,13.688,88.086,108.003,2.983
2,JY56-z1,2894.83,237.981,280.058,2.628,15.445,27.835,32.668,3.077
2,JY56-z1,2895.73,211.028,260.664,2.652,14.968,27.791,33.657,2.594
2,JY56-z1,2896.7,213.836,252.878,2.626,13.207,48.623,57.805,2.726
4,JY56-z1,2897.64,203.683,245.696,2.63,12.403,79.421,93.981,2.639
3,JY56-z1,2898.62,209.516,248.093,2.627,12.485,99.248,118.631,2.35
4,JY56-z1,2899.36,213.236,249.166,2.607,11.63,71.558,88.948,2.545
2,JY56-z1,2900.42,196.759,251.841,2.589,11.918,99.981,124.29,2.887
2,JY56-z1,2901.38,200.415,250.002,2.598,11.321,73.368,93.14,2.822
2,JY56-z1,2902.34,191.92,250.404,2.581,12.569,92.557,115.589,2.738
2,JY56-z1,2903.24,205.511,252.369,2.611,11.245,57.322,69.025,3.152
5,JY51-2,3051.64,113.334,194.479,2.72,9.548,168.895,148.649,2.89
3,JY51-2,3052.87,161.003,240.227,2.635,18.433,24.504,23.285,4.261
3,JY51-2,3053.87,195.509,254.021,2.671,20.935,26.377,27.492,4.765
3,JY51-2,3054.87,198.12,256.577,2.678,21.955,28.368,30.285,4.594
3,JY51-2,3055.87,198.917,248.479,2.684,19.852,30.702,33.041,4.803
3,JY51-2,3056.87,187.104,248.304,2.68,21.464,27.621,28.824,4.993
3,JY51-2,3057.87,188.588,248.527,2.692,19.678,25.868,27.493,5.544
3,JY51-2,3058.87,198.933,251.752,2.669,20.502,27.582,29.852,5.325
3,JY51-2,3059.87,196.461,250.166,2.683,19.423,13.22,15.479,4.768
3,JY51-2,3060.87,194.005,243.729,2.66,17.544,34.891,37.622,4.412
3,JY51-2,3061.87,192.788,245.265,2.66,18.084,29.846,32.431,3.994
3,JY51-2,3062.87,197.961,250.999,2.695,19.413,13.781,14.858,4.668
3,JY51-2,3063.87,205.067,253.797,2.656,20.388,27.252,30.327,4.87
3,JY51-2,3064.87,209.411,255.453,2.624,19.169,35.646,39.167,4.384
3,JY51-2,3065.87,230.068,258.235,2.648,18.263,28.436,31.198,4.186
3,JY51-2,3066.87,216.469,251.967,2.626,17.305,25.858,29.258,4.264
3,JY51-2,3067.87,222.377,248.446,2.658,17.136,50.313,53.757,4.391
3,JY51-2,3068.87,163.135,221.863,2.765,13.797,55.345,59.156,3.887
3,JY51-2,3069.71,211.116,259.819,2.647,19.675,29.193,31.056,5.22
3,JY51-2,3070.87,215.081,266.848,2.66,20.799,21.904,23.497,4.54
3,JY51-2,3071.87,210.757,270.178,2.666,21.713,7.221,8.621,4.612
3,JY51-2,3072.87,219.99,273.069,2.643,21.849,19.956,21.055,4.755
3,JY51-2,3073.87,216.792,264.241,2.684,21.02,17.908,19.136,5.54
3,JY51-2,3074.63,207.258,265.13,2.667,21.476,12.608,13.25,5.36
3,JY51-2,3075.87,222.459,264.341,2.669,21.038,19.094,20.237,5.591
3,JY51-2,3076.87,183.019,240.37,2.688,15.949,30.748,32.001,4.598
3,JY51-2,3077.87,222.648,264.627,2.649,22.477,15.299,16.585,4.35
3,JY51-2,3078.87,207.183,266.307,2.649,20.767,25.192,26.124,4.656
3,JY51-2,3079.87,197.487,259.486,2.668,18.976,23.256,24.746,4.214
3,JY51-2,3080.87,210.274,275.028,2.652,20.066,15.863,16.903,4.847
3,JY51-2,3081.87,200.055,263.733,2.682,19.533,12.092,13.171,4.132
3,JY51-2,3082.87,175.625,238.136,2.647,16.515,45.829,46.466,3.767
3,JY51-2,3083.87,173.186,238.524,2.645,15.297,45.199,45.838,3.982
3,JY51-2,3084.87,184.422,240.398,2.634,16.853,37.274,38.268,4.353
4,JY51-2,3085.77,170.72,233.292,2.66,14.929,57.722,59.583,3.739
3,JY51-2,3086.87,182.357,242.114,2.613,15.794,46.529,49.225,3.78
3,JY51-2,3087.93,178.57,241.339,2.617,15.153,47.189,49.641,2.957
3,JY51-2,3088.73,166.05,237.538,2.65,14.11,42.158,44.857,3.997
3,JY51-2,3089.87,184.631,245.621,2.616,16.268,46.559,48.613,4.241
4,JY51-2,3091.19,218.361,240.292,2.646,14.612,25.767,26.213,3.062
3,JY51-2,3091.87,224.817,238.394,2.656,14.195,23.128,24.376,3.342
4,JY51-2,3092.87,182.833,232.57,2.646,15.086,20.511,19.556,4.088
4,JY51-2,3093.87,188.154,239.305,2.646,16.317,44.011,43.696,3.909
3,JY51-2,3094.87,194.153,246.051,2.641,15.492,15.491,15.39,4.797
3,JY51-2,3095.87,187.586,238.998,2.614,16.617,43.224,42.86,3.667
2,JY51-2,3096.87,180.725,235.613,2.638,15.253,54.985,55.35,3.649
3,JY51-2,3097.87,187.478,226.643,2.654,14.005,86.143,87.011,3.743
3,JY51-2,3098.87,177.437,235.154,2.634,15.468,36.05,37.915,4.272
