Well Name,Depth,GR,DEN,AC,CNL,Facies
JY37-4HF,3033.204,201.72,2.695,241.024,22.962,2
JY37-4HF,3033.329,199.01,2.688,240.993,22.858,2
JY37-4HF,3033.454,195.973,2.684,240.958,22.744,2
JY37-4HF,3033.579,194.768,2.682,241.049,22.655,2
JY37-4HF,3033.704,195.451,2.683,241.415,22.584,2
JY37-4HF,3033.829,196.597,2.687,242.124,22.514,2
JY37-4HF,3033.954,197.585,2.691,243.159,22.449,2
JY37-4HF,3034.079,198.903,2.696,244.388,22.404,2
JY37-4HF,3034.204,200.42,2.698,245.581,22.382,2
JY37-4HF,3034.329,201.221,2.698,246.478,22.356,2
JY37-4HF,3034.454,201.338,2.695,246.859,22.278,2
JY37-4HF,3034.579,201.403,2.691,246.61,22.102,2
JY37-4HF,3034.704,201.656,2.688,245.706,21.846,2
JY37-4HF,3034.829,201.76,2.688,244.377,21.591,2
JY37-4HF,3034.954,201.358,2.691,242.962,21.413,2
JY37-4HF,3035.079,200.357,2.696,241.819,21.3,2
JY37-4HF,3035.204,198.978,2.701,241.179,21.19,2
JY37-4HF,3035.329,197.427,2.703,241.116,21.028,2
JY37-4HF,3035.454,196.216,2.704,241.496,20.829,2
JY37-4HF,3035.579,196.188,2.703,242.035,20.666,2
JY37-4HF,3035.704,198.013,2.703,242.439,20.631,2
JY37-4HF,3035.829,201.142,2.702,242.521,20.756,2
JY37-4HF,3035.954,203.547,2.7,242.249,21.012,2
JY37-4HF,3036.079,203.124,2.697,241.704,21.318,2
JY37-4HF,3036.204,199.997,2.691,241.075,21.596,2
JY37-4HF,3036.329,195.531,2.686,240.546,21.782,2
JY37-4HF,3036.454,191.58,2.682,240.23,21.851,2
JY37-4HF,3036.579,189.856,2.682,240.105,21.794,2
JY37-4HF,3036.704,190.953,2.685,240.085,21.61,2
JY37-4HF,3036.829,193.636,2.687,240.05,21.345,2
JY37-4HF,3036.954,196.261,2.688,239.909,21.075,2
JY37-4HF,3037.079,198.766,2.688,239.637,20.889,2
JY37-4HF,3037.204,201.522,2.686,239.285,20.84,2
JY37-4HF,3037.329,203.415,2.684,238.923,20.929,2
JY37-4HF,3037.454,203.417,2.683,238.594,21.093,2
JY37-4HF,3037.579,202.461,2.683,238.313,21.22,2
JY37-4HF,3037.704,201.937,2.684,238.061,21.209,2
JY37-4HF,3037.829,202.047,2.684,237.806,21.037,2
JY37-4HF,3037.954,202.351,2.684,237.538,20.769,2
JY37-4HF,3038.079,202.788,2.683,237.263,20.505,2
JY37-4HF,3038.204,203.2,2.681,236.967,20.32,2
JY37-4HF,3038.329,203.053,2.68,236.605,20.223,2
JY37-4HF,3038.454,201.82,2.68,236.127,20.161,2
JY37-4HF,3038.579,199.567,2.682,235.513,20.064,2
JY37-4HF,3038.704,197.493,2.685,234.8,19.895,2
JY37-4HF,3038.829,197.507,2.688,234.109,19.671,2
JY37-4HF,3038.954,200.336,2.69,233.603,19.457,2
JY37-4HF,3039.079,203.97,2.691,233.429,19.316,2
JY37-4HF,3039.204,205.453,2.691,233.602,19.272,2
JY37-4HF,3039.329,203.644,2.692,233.993,19.314,2
JY37-4HF,3039.454,200.212,2.695,234.396,19.399,2
JY37-4HF,3039.579,198.196,2.699,234.621,19.465,2
JY37-4HF,3039.704,198.848,2.704,234.606,19.45,2
JY37-4HF,3039.829,200.45,2.707,234.466,19.341,2
JY37-4HF,3039.954,201.111,2.708,234.45,19.167,2
JY37-4HF,3040.079,200.898,2.708,234.813,18.968,2
JY37-4HF,3040.204,201.222,2.707,235.668,18.788,2
JY37-4HF,3040.329,202.595,2.706,236.901,18.688,2
JY37-4HF,3040.454,204.463,2.704,238.236,18.725,2
JY37-4HF,3040.579,206.465,2.703,239.319,18.911,2
JY37-4HF,3040.704,208.227,2.702,239.904,19.225,2
JY37-4HF,3040.829,209.312,2.7,239.875,19.596,2
JY37-4HF,3040.954,210.71,2.698,239.385,19.916,2
JY37-4HF,3041.079,214.196,2.696,238.678,20.047,2
JY37-4HF,3041.204,220.357,2.696,238.014,19.938,2
JY37-4HF,3041.329,221.983,2.697,237.863,19.632,2
JY37-4HF,3041.454,227.743,2.699,237.274,19.235,2
JY37-4HF,3041.579,228.124,2.699,237.322,19.137,2
JY37-4HF,3041.704,226.016,2.705,237.541,18.449,2
JY37-4HF,3041.829,224.095,2.702,237.481,18.364,2
JY37-4HF,3041.954,222.925,2.696,237.198,18.628,2
JY37-4HF,3042.079,222.721,2.691,237.006,18.743,2
