Well Name,Depth,Facies,GR,AC,LLS,LLD
JY41-5,2516.375,1,168.34,234.147,48.653,38.518
JY41-5,2517.375,1,67.229,194.375,983.152,902.488
JY41-5,2517.5,1,57.202,187.77,1262.004,1148.016
JY41-5,2517.625,1,54.608,183.86,1277.254,1156.172
JY41-5,2518,1,59.953,186.926,1099.338,1009.13
JY41-5,2518.125,1,60.121,189.957,1263.724,1155.229
JY41-5,2518.25,1,60.273,192.652,1413.136,1271.571
JY41-5,2518.375,1,61.048,194.865,1419.704,1248.492
JY41-5,2518.5,1,62.489,196.416,1232.158,1054.409
JY41-5,2518.625,1,64.5,197.491,931.813,776.592
JY41-5,2518.75,1,68.112,199.014,616.569,501.98
JY41-5,2518.875,1,77.557,201.797,353.4,282.314
JY41-5,2519,1,95.925,206.39,172.146,134.902
JY41-5,2519.125,1,122.782,212.937,77.845,60.418
JY41-5,2519.25,1,150.702,221.363,47.696,37.431
JY41-5,2519.375,1,172.899,230.303,36.508,29.039
JY41-5,2519.5,1,186.824,238.368,32.169,25.914
JY41-5,2519.625,1,194.064,244.451,30.961,25.197
JY41-5,2519.75,1,196.473,248.338,31.046,25.477
JY41-5,2519.875,1,195.612,250.147,31.804,26.292
JY41-5,2520,1,193.074,250.169,33.009,27.444
JY41-5,2520.125,2,188.447,249.275,34.515,28.796
JY41-5,2520.25,2,181.884,247.823,36.195,30.262
JY41-5,2521,2,174.907,238.665,40.163,33.995
JY41-5,2521.125,2,176.183,238.368,39.414,33.401
JY41-5,2521.25,2,177.935,238.672,38.281,32.521
JY41-5,2522.125,2,181.222,242.698,35.557,29.935
JY41-5,2522.25,2,184.508,243.803,29.618,24.775
JY41-5,2522.375,2,187.919,245.654,23.136,19.484
JY41-5,2523.25,2,189.081,253.41,31.594,26.823
JY41-5,2523.375,2,191.613,253.397,29.421,25.062
JY41-5,2523.5,2,194.113,253.462,28.056,24.03
JY41-5,2524.25,2,186.462,254.463,34.942,30.101
JY41-5,2524.375,2,183.164,254.525,34.494,29.981
JY41-5,2524.5,2,182.628,254.347,34.154,29.949
JY41-5,2525.125,2,174.938,251.576,33.351,30.595
JY41-5,2525.25,2,175.701,251.445,33.169,30.517
JY41-5,2525.375,2,176.596,251.55,33.04,30.474
JY41-5,2526.125,2,178.725,254.019,25.803,24.118
JY41-5,2526.25,2,180.339,254.521,24.605,23.192
JY41-5,2526.375,2,183.28,255.012,24.68,23.443
JY41-5,2527.125,2,181.617,255.457,31.366,29.803
JY41-5,2527.25,2,179.41,254.761,31.51,29.965
