Well Name,Depth,Facies,GR,AC,DEN,LLS,LLD
JY41-5,2503.375,1,171.199,242.725,2.726,31.972,29.535
JY41-5,2503.5,1,174.744,243.383,2.734,30.969,28.622
JY41-5,2503.625,1,176.548,244.149,2.736,30.018,27.765
JY41-5,2508,1,89.398,198.598,2.66,431.399,390.261
JY41-5,2508.125,1,90.29,198.407,2.665,385.632,349.227
JY41-5,2508.25,1,90.675,198.382,2.666,341.263,309.408
JY41-5,2508.375,1,90.239,198.727,2.664,296.333,269.286
JY41-5,2508.5,1,90.293,199.637,2.662,257.244,235.017
JY41-5,2508.625,1,92.36,200.983,2.661,233.623,215.096
JY41-5,2508.75,1,95.2,202.542,2.661,230.548,213.995
JY41-5,2508.875,1,95.399,203.84,2.658,248.694,232.745
JY41-5,2509,1,92.413,204.339,2.655,289.88,273.208
JY41-5,2509.125,1,88.891,203.738,2.649,355.544,336.208
JY41-5,2509.25,1,86.698,202.094,2.643,433.505,410.099
JY41-5,2509.375,1,85.319,199.835,2.638,519.287,490.864
JY41-5,2509.5,1,84.053,197.367,2.633,618.275,582.481
JY41-5,2509.625,1,83.363,195.333,2.626,712.277,666.562
JY41-5,2509.75,1,84.698,194.182,2.616,761.528,706.309
JY41-5,2509.875,1,88.621,194.229,2.606,727.02,668.221
JY41-5,2510,1,94.56,195.297,2.599,641.64,585.341
JY41-5,2510.125,1,101.495,197.098,2.594,547.663,497.231
