Well Name,Depth,GR,AC,DEN,CNL,LLS,K,Facies
JY37-4,3043.704,218.64,234.946,2.648,16.021,17.74,4.11,3
JY37-4,3043.829,221.997,235.476,2.65,15.998,10.525,4.092,3
JY37-4,3044.704,196.008,235.408,2.67,17.11,7.904,3.583,3
JY37-4,3044.829,193.489,234.584,2.664,16.97,11.114,3.518,3
JY37-4,3044.954,191.128,233.185,2.659,16.588,13.478,3.439,3
JY37-4,3045.079,190.717,231.261,2.655,16.167,13.821,3.384,3
JY37-4,3045.329,193.448,226.77,2.655,15.405,12.138,3.446,3
JY37-4,3045.454,191.786,225.322,2.66,14.829,12.37,3.534,3
JY37-4,3046.579,205.257,236.691,2.63,13.484,20.929,3.77,3
JY37-4,3046.704,195.15,231.333,2.633,13.484,24.399,3.653,3
JY37-4,3046.954,179.026,223.71,2.638,13.406,28.001,3.473,3
JY37-4,3050.704,168.596,242.432,2.621,15.355,33.289,3.972,3
JY37-4,3050.829,172.983,244.705,2.62,15.24,30.652,4.022,3
JY37-4,3050.954,173.767,245.013,2.627,15.021,29.319,3.967,3
JY37-4,3052.079,177.73,243.409,2.644,18.961,22.062,3.096,3
JY37-4,3052.204,178.841,245.692,2.642,19.107,22.046,3.106,3
JY37-4,3052.329,180.772,247.607,2.64,19.185,21.44,3.123,3
JY37-4,3052.454,183.215,248.866,2.641,19.347,20.323,3.14,3
JY37-4,3052.579,186.245,249.396,2.644,19.549,19.379,3.169,3
JY37-4,3052.704,190.917,249.257,2.641,19.774,19.005,3.241,3
JY37-4,3052.829,197.373,248.584,2.628,20.07,19.035,3.346,3
JY37-4,3053.079,209.215,245.868,2.607,20.347,19.017,3.509,3
JY37-4,3063.579,200.65,238.881,2.649,19.031,20.715,4.019,3
JY37-4,3063.704,198.108,237.679,2.639,19.015,21.944,4.023,3
JY37-4,3063.829,193.817,236.114,2.64,18.816,22.509,4.034,3
JY37-4,3063.954,189.323,234.6,2.65,18.368,22.248,3.987,3
JY37-4,3064.579,189.621,235.949,2.671,19.854,28.015,3.322,3
JY37-4,3064.704,194.375,237.19,2.659,20.048,29.756,3.286,3
JY37-4,3064.829,198.64,238.318,2.653,19.724,25.836,3.408,3
JY37-4,3064.954,201.626,239.248,2.653,19.084,16.859,3.574,3
JY37-4,3073.454,193.721,233.937,2.64,16.084,28.905,3.814,3
JY37-4,3076.329,224.132,242.776,2.608,23.519,17.934,3.561,3
JY37-4,3076.454,217.754,242.511,2.609,22.536,18.945,3.523,3
